id;Arret
stop_area:OCE:SA:87110288; (Joué-lès-Tours)
stop_area:OCE:SA:87279166; (Niherne)
stop_area:OCE:SA:87286740; (Tressin)
stop_area:OCE:SA:87286781; (Cysoing)
stop_area:OCE:SA:87286807; (Genech)
stop_area:OCE:SA:87287219; (Anstaing)
stop_area:OCE:SA:87287235; (Cysoing)
stop_area:OCE:SA:87287243; (Genech)
stop_area:OCE:SA:87644112; (Courçay)
stop_area:OCE:SA:87689737; (Tours)
stop_area:OCE:SA:87699298;label inexistant
stop_area:OCE:SA:00;.
stop_area:OCE:SA:80153452;Aachen/Aix la Chapelle (Aachen)
stop_area:OCE:SA:87313759;Abancourt (Abancourt)
stop_area:OCE:SA:87481614;Abbaretz (Abbaretz)
stop_area:OCE:SA:87317362;Abbeville (Abbeville)
stop_area:OCE:SA:87545269;Ablon (Ablon-sur-Seine)
stop_area:OCE:SA:87191403;Aboncourt (Aboncourt)
stop_area:OCE:SA:87721944;Abrest Mairie (Abrest)
stop_area:OCE:SA:87677252;Accolay-Le-Pont (Deux Rivières)
stop_area:OCE:SA:87386052;Achères-Grand-Cormier (Saint-Germain-en-Laye)
stop_area:OCE:SA:87381657;Achères-Ville (Achères)
stop_area:OCE:SA:87342048;Achiet (Achiet-le-Grand)
stop_area:OCE:SA:87658856;Adamswiller Lot. forêt. (Adamswiller)
stop_area:OCE:SA:87658922;Adamswiller-(Mairie). (Adamswiller)
